id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
488200,AFG-2023-3-951-89,2023,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,2,"""Hasht e Subh Daily,2023-09-07,Unknown Gunmen Shoot Former Military Officer Dead in Balkh"";""Kabul Now,2023-09-26,Nearly 200 Killed and Detained in One Month;  the Taliban’s Claims of Security Falter""",Hasht e Subh Daily;Kabul Now,2023-09-07;2023-09-26,Unknown Gunmen Shoot Former Military Officer Dead in Balkh;Nearly 200 Killed and Detained in One Month;  the Taliban’s Claims of Security Falter,Local sources in Balkh,1,Mazari Sharif town,Kart-e-Sulh area of the seventh district of Mazar-e-Sharif city,Balkh province,Mazari Sharif district,36.700067,67.116647,POINT (67.116647 36.700067),182655,Afghanistan,700,Asia,1,1,2023-09-07 00:00:00.000,2023-09-07 00:00:00.000,0,0,2,0,2,2,0,700,
490237,AFG-2023-3-951-91,2023,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,2,"""Khaama Press,2023-09-13,Increased insecurity in Afghanistan: 4 murders in 36 hours"";""Hasht e Subh Daily,2023-09-12,Local Uprising Commander Killed by Taliban in Takhar Province""",Khaama Press;Hasht e Subh Daily,2023-09-13;2023-09-12,Increased insecurity in Afghanistan: 4 murders in 36 hours;Local Uprising Commander Killed by Taliban in Takhar Province,media outlets Local sources in Takhar province,2,Badam Darah village,"Moghol-Qeshlaq village in Badam Darah, located in the city of Taliqan.",Takhar province,Taluqan district,36.693060,69.512270,POINT (69.51227 36.69306),182660,Afghanistan,700,Asia,1,1,2023-09-11 00:00:00.000,2023-09-11 00:00:00.000,0,0,0,0,0,1,0,700,
490241,AFG-2023-3-951-92,2023,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""Hasht e Subh Daily,2023-09-12,Local Uprising Commander Killed by Taliban in Takhar Province""",Hasht e Subh Daily,2023-09-12,Local Uprising Commander Killed by Taliban in Takhar Province,,4,Parwan province,Parwan province,Parwan province,,35.000000,68.916670,POINT (68.91667 35),180498,Afghanistan,700,Asia,1,1,2023-09-11 00:00:00.000,2023-09-11 00:00:00.000,0,0,1,0,1,1,1,700,
490851,AFG-2023-3-951-93,2023,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""Hasht e Subh Daily,2023-09-19,Former Government Army Officer Mysteriously Murdered in Kandahar""",Hasht e Subh Daily,2023-09-19,Former Government Army Officer Mysteriously Murdered in Kandahar,"Local sources in Kandahar province; Rahmatullah Andar, the spokesperson for the former government’s National Security Council; ocal Taliban officials",1,Kandahar town,“Ainu Mina” area of Kandahar city.,Kandahar province,Kandahar district,31.611795,65.705795,POINT (65.705795 31.611795),175452,Afghanistan,700,Asia,1,1,2023-09-14 00:00:00.000,2023-09-14 00:00:00.000,0,0,0,0,0,1,0,700,
490852,AFG-2023-3-951-94,2023,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""Hasht e Subh Daily,2023-09-17,Taliban’s Deadly Aim: Young Man Gunned Down in Ghazni Province""",Hasht e Subh Daily,2023-09-17,Taliban’s Deadly Aim: Young Man Gunned Down in Ghazni Province,Local sources in Ghazni,1,Ghazni town,"Ghayb-Qalandar square, located within the fifth security district of Ghazni city.",Ghazni province,Ghazni district,33.549999,68.416702,POINT (68.416702 33.549999),178337,Afghanistan,700,Asia,1,1,2023-09-16 00:00:00.000,2023-09-16 00:00:00.000,0,0,0,0,0,1,0,700,
488135,AFG-2023-1-12291-5,2023,false,Clear,1,11639,11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,7,"""Aamaj News,2023-09-06,2 Taliban Fighters Killed in Clash with Pak Border Guards"";""Afghan Analyst on Twitter,2023-09-06,Pro-Taliban accounts shared the photo of one alleged victim of today's clash in Torkham town"";""Tolo News,2023-09-07,After Clashes at Torkham, Kabul Calls for Dialogue to Solve Tensions"";""@Natsecjeff on Twitter (X),2023-09-09,Statement against Pakistan by Afghan Taliban Foreign Ministry."";""Kabul Now,2023-09-06,Torkham clash update: 8 killed, including children, and 20 wounded  "";""ITAR-TASS,2023-09-06,Four Taliban killed in shootout on border with Pakistan"";""Ariana News,2023-09-11,Pakistan says border dispute hinges on IEA forces violating their sovereignty""",Aamaj News;Afghan Analyst on Twitter;Tolo News;@Natsecjeff on Twitter (X);Kabul Now;ITAR-TASS;Ariana News,2023-09-06;2023-09-06;2023-09-07;2023-09-09;2023-09-06;2023-09-06;2023-09-11,"2 Taliban Fighters Killed in Clash with Pak Border Guards;Pro-Taliban accounts shared the photo of one alleged victim of today's clash in Torkham town;After Clashes at Torkham, Kabul Calls for Dialogue to Solve Tensions;Statement against Pakistan by Afghan Taliban Foreign Ministry.;Torkham clash update: 8 killed, including children, and 20 wounded  ;Four Taliban killed in shootout on border with Pakistan;Pakistan says border dispute hinges on IEA forces violating their sovereignty","Aamaj News; Pro-Taliban accounts; Nangarhar Media office; Taliban's Ministry of Interior; Islamic Emirate's spokesman, Zabihullah Mujahid; Afghan Taliban Foreign Ministry; Pakistan’s ministry of foreign affairs",1,Torkham border gate,Torkham,Nangarhar province,Muhmand Dara district,34.122312,71.093693,POINT (71.093693 34.122312),179063,Afghanistan,700,Asia,1,1,2023-09-06 00:00:00.000,2023-09-06 00:00:00.000,2,2,4,0,8,10,1,700,770
490189,AFG-2023-1-14320-44,2023,true,Clear,1,13637,13637,Afghanistan: Islamic State,14320,14320,Government of Afghanistan - IS,130,130,Government of Afghanistan,234,234,IS,1,"""Afghan Analyst on Twitter (X),2023-09-12,The Police elite forces conducted a reacue operation in Kart-e Naw area""",Afghan Analyst on Twitter (X),2023-09-12,The Police elite forces conducted a reacue operation in Kart-e Naw area,Taliban's Police Special Units; pro-Taliban sources,1,Kabul city,"Kart-e Naw area, in PD8 of Kabul City",Kabul province,Kabul district,34.531094,69.162796,POINT (69.162796 34.531094),179779,Afghanistan,700,Asia,1,1,2023-09-11 00:00:00.000,2023-09-11 00:00:00.000,0,0,0,0,0,5,0,700,
488136,AFG-2023-1-16825-46,2023,true,Clear,1,333,333,Afghanistan: Government,16825,16825,Government of Afghanistan - NRF,130,130,Government of Afghanistan,8114,8114,NRF,5,"""Kabul Now,2023-09-05,Senior commander of NRF killed in Baghlan’s Andarab"";""NRF,2023-09-05,وَلَا تَقُولُوا لِمَنْ يُقْتَلُ فِي سَبِيلِ اللَّهِ أَمْوَاتٌ ۚ بَلْ أَحْيَاءٌ وَلَٰكِنْ لَا تَشْعُرُونَ"";""Afghan Analyst on Twitter (X),2023-09-04,Andarab Resistance Front (ARF) confirmed the killing of commander Qamaruddin by the Taliban. "";""AFF,2023-09-05,It is with regret that we learned that Qamaruddin Khan Andrabi, one of the commanders of the National Authority Front, was martyred by Taliban mercenaries in the Khaj Valley of Banui Andrab district."";""@natiqmalikzada on Twitter (X),2023-09-04,Commander Qamaruddin Andarabi, one of the #NRF's senior commanders, was killed this afternoon in a battle with the Taliban in the Bano area of Andarab.""",Kabul Now;NRF;Afghan Analyst on Twitter (X);AFF;@natiqmalikzada on Twitter (X),2023-09-05;2023-09-05;2023-09-04;2023-09-05;2023-09-04,"Senior commander of NRF killed in Baghlan’s Andarab;وَلَا تَقُولُوا لِمَنْ يُقْتَلُ فِي سَبِيلِ اللَّهِ أَمْوَاتٌ ۚ بَلْ أَحْيَاءٌ وَلَٰكِنْ لَا تَشْعُرُونَ;Andarab Resistance Front (ARF) confirmed the killing of commander Qamaruddin by the Taliban. ;It is with regret that we learned that Qamaruddin Khan Andrabi, one of the commanders of the National Authority Front, was martyred by Taliban mercenaries in the Khaj Valley of Banui Andrab district.;Commander Qamaruddin Andarabi, one of the #NRF's senior commanders, was killed this afternoon in a battle with the Taliban in the Bano area of Andarab.",@natiqmalikzada on Twitter (X); NRF; AFF; Local sources,2,Banu town,Bano area of Andarab (Khaj Valley),Baghlan province,Andarab district,35.633480,69.260190,POINT (69.26019 35.63348),181219,Afghanistan,700,Asia,1,1,2023-09-04 00:00:00.000,2023-09-04 00:00:00.000,0,1,0,0,1,1,1,700,
488190,AFG-2023-1-16825-47,2023,true,Clear,1,333,333,Afghanistan: Government,16825,16825,Government of Afghanistan - NRF,130,130,Government of Afghanistan,8114,8114,NRF,2,"""Kabul Now,2023-09-09,Taliban killed former military officer in Kapisa for links with NRF"";""Hasht e Subh Daily,2023-09-08,Taliban Kill Former Military Officer After Two Days of Detention in Kapisa Province""",Kabul Now;Hasht e Subh Daily,2023-09-09;2023-09-08,Taliban killed former military officer in Kapisa for links with NRF;Taliban Kill Former Military Officer After Two Days of Detention in Kapisa Province,Local sources,4,Kapisa province,eastern Kapisa province,Kapisa province,,35.000000,69.583330,POINT (69.58333 35),180500,Afghanistan,700,Asia,1,1,2023-09-08 00:00:00.000,2023-09-08 00:00:00.000,0,0,0,0,0,1,0,700,
490848,AFG-2023-1-16825-48,2023,true,Clear,1,333,333,Afghanistan: Government,16825,16825,Government of Afghanistan - NRF,130,130,Government of Afghanistan,8114,8114,NRF,1,"""Aamaj News,2023-09-18,5 Taliban Members Injured, Killed in Attack by NRF Fighters in Takhar""",Aamaj News,2023-09-18,"5 Taliban Members Injured, Killed in Attack by NRF Fighters in Takhar",Local sources in Takhar,4,Takhar province,Takhar,Takhar province,,36.666670,69.750000,POINT (69.75 36.66667),182660,Afghanistan,700,Asia,1,1,2023-09-17 00:00:00.000,2023-09-17 00:00:00.000,0,0,0,0,0,2,0,700,
